Year,PassengerCarMPG,DomesticMPG,ImportedMPG
1980,24.3,22.6,29.6
1985,27.6,26.3,31.5
1990,28.0,26.9,29.9
1991,28.4,27.3,30.1
1992,27.9,27.0,29.2
1993,28.4,27.8,29.6
1994,28.3,27.5,29.7
1995,28.6,27.7,30.3
1996,28.5,28.1,29.6
1997,28.7,27.8,30.1
1998,28.8,28.6,29.2
1999,28.3,28.0,29.0
2000,28.5,28.7,28.3
2001,28.8,28.7,29.0
2002,29.0,29.1,28.8
2003,29.5,29.1,29.9
2004,29.5,29.9,28.7
2005,30.3,30.5,29.9
2006,30.1,30.3,29.7
2007,31.2,30.6,32.2
2008,31.5,31.2,31.8
2009,32.9,32.1,33.8
2010,33.9,33.1,35.2
2011,33.1,32.7,33.7
2012,35.3,34.8,36.0
2013,36.4,36.1,36.8
2014,36.5,36.3,36.9
2015,37.2,37.2,37.3
2016,37.7,37.3,38.2
